step,mean_vel_x,mean_abs_vx_error,p2_fault_active_mean,residual_action_mean_norm,final_action_mean_norm,base_action_mean_norm,residual_action_max_norm,mean_abs_yaw_error,done_count,no_nan_inf
1,0.04396741837263107,0.9560326337814331,0.0,1.0691956281661987,0.8877215385437012,0.8877215385437012,1.3388910293579102,2.2748918533325195,0,True
2,0.03905193880200386,0.96094810962677,0.0,1.8190845251083374,1.257528305053711,1.257528305053711,2.9190964698791504,3.2284789085388184,0,True
3,0.04948337376117706,0.9505166411399841,0.0,2.3406786918640137,0.8740423917770386,0.8740423917770386,3.0946836471557617,4.240088939666748,0,True
4,-0.027215320616960526,1.0272153615951538,0.0,2.5977416038513184,0.7428439259529114,0.7428439259529114,3.4033634662628174,4.427323341369629,0,True
5,0.0004334729164838791,0.9995664954185486,0.0,2.6384849548339844,0.860897421836853,0.860897421836853,3.267712116241455,3.224266767501831,0,True
6,-0.010575922206044197,1.0105760097503662,0.0,2.179016351699829,1.1540240049362183,1.1540240049362183,3.305262565612793,2.1658482551574707,0,True
7,-0.0012511499226093292,1.001251220703125,0.0,1.7175332307815552,1.4100077152252197,1.4100077152252197,2.8663246631622314,1.189386248588562,0,True
8,0.13225582242012024,0.8677442073822021,0.0,1.430253028869629,1.6869709491729736,1.6869709491729736,3.3248207569122314,0.8948215246200562,0,True
9,0.15885552763938904,0.8436368703842163,0.0,1.3575327396392822,1.606500506401062,1.606500506401062,2.8208484649658203,0.7888590097427368,0,True
10,0.12501050531864166,0.8749895095825195,0.0,1.1626405715942383,1.5761349201202393,1.5761349201202393,2.1246321201324463,0.6753703355789185,0,True
11,0.12108375877141953,0.8789162635803223,0.0,1.0277948379516602,1.482055902481079,1.482055902481079,1.502545952796936,0.4375322163105011,0,True
12,0.16640211641788483,0.8335978984832764,0.0,1.1600282192230225,1.5522934198379517,1.5522934198379517,2.018059015274048,0.49479132890701294,0,True
13,0.17038391530513763,0.829616129398346,0.0,1.1074604988098145,1.397779941558838,1.397779941558838,2.0981454849243164,0.4028639793395996,0,True
14,0.20609262585639954,0.7939073443412781,0.0,1.0605204105377197,1.3320481777191162,1.3320481777191162,1.487192988395691,0.3122229278087616,0,True
15,0.25666192173957825,0.7433381080627441,0.0,1.1291844844818115,1.4406851530075073,1.4406851530075073,1.8209141492843628,0.3215755224227905,0,True
16,0.2732572555541992,0.7267427444458008,0.0,1.1252503395080566,1.4334570169448853,1.4334570169448853,1.6810216903686523,0.3347180187702179,0,True
17,0.30375900864601135,0.696241021156311,0.0,1.118159532546997,1.480774998664856,1.480774998664856,2.023125648498535,0.22409206628799438,0,True
18,0.3346668481826782,0.6653331518173218,0.0,1.2816355228424072,1.5824110507965088,1.5824110507965088,2.443774700164795,0.2865564227104187,0,True
19,0.4851694107055664,0.5162359476089478,0.0,1.4492545127868652,1.7909114360809326,1.7909114360809326,2.228411912918091,0.25197410583496094,0,True
20,0.4849913716316223,0.5167244076728821,0.0,1.557138442993164,1.7096617221832275,1.7096617221832275,3.364347457885742,0.3225827217102051,0,True
21,0.4940449297428131,0.5059551000595093,0.0,1.379854440689087,1.7439897060394287,1.7439897060394287,2.58089542388916,0.22557009756565094,0,True
22,0.48777273297309875,0.5122272968292236,0.0,1.2003101110458374,1.4880502223968506,1.4880502223968506,1.8233709335327148,0.23984691500663757,0,True
23,0.5167797803878784,0.4832202196121216,0.0,1.3420209884643555,1.5114474296569824,1.5114474296569824,2.6262974739074707,0.1886095106601715,0,True
24,0.514999270439148,0.48500069975852966,0.0,1.3000550270080566,1.3412432670593262,1.3412432670593262,1.999393343925476,0.09743403643369675,0,True
25,0.5056397914886475,0.49436020851135254,0.0,1.2225022315979004,1.2396528720855713,1.2396528720855713,1.5241508483886719,0.15558530390262604,0,True
26,0.5547930002212524,0.44520699977874756,0.0,1.3875621557235718,1.4967787265777588,1.4967787265777588,2.3646774291992188,0.15092892944812775,0,True
27,0.5762034058570862,0.4237965941429138,0.0,1.3626692295074463,1.4433491230010986,1.4433491230010986,2.023050308227539,0.18223434686660767,0,True
28,0.5777536630630493,0.42844825983047485,0.0,1.403950572013855,1.5334223508834839,1.5334223508834839,2.2430214881896973,0.17479586601257324,0,True
29,0.6405019760131836,0.36489179730415344,0.0,1.4393417835235596,1.619793176651001,1.619793176651001,2.7766847610473633,0.12302236258983612,0,True
30,0.6532573699951172,0.3467426300048828,0.0,1.3923697471618652,1.5673396587371826,1.5673396587371826,2.41776442527771,0.18069252371788025,0,True
31,0.6975568532943726,0.30244314670562744,0.0,1.4494850635528564,1.710479736328125,1.710479736328125,2.634831428527832,0.15167105197906494,0,True
32,0.7490714192390442,0.2630622386932373,0.0,1.4310944080352783,1.6890804767608643,1.6890804767608643,2.484478712081909,0.21307918429374695,0,True
