source_root,velocity_mode,protocol,baseline_policy,candidate_policy,alpha,baseline_post_fault_error,candidate_post_fault_error,absolute_error_reduction,percent_error_reduction,baseline_p90_error,candidate_p90_error,p90_error_reduction,best_alpha_by_mean_error,best_alpha_by_p90_error,alpha_ranking_note
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,late_random,a2_history,a5,0.25,0.434680359,0.346789719,0.0878906397,20.2196023,0.935060573,0.752494901,0.182565671,0.5,0.5,best alpha by mean error differs across velocity modes (command_random: alpha=0.5; fixed_vx_1p0: alpha=1)
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,late_random,a2_history,a5,0.5,0.434680359,0.291396929,0.14328343,32.962941,0.935060573,0.659099591,0.275960982,0.5,0.5,best alpha by mean error differs across velocity modes (command_random: alpha=0.5; fixed_vx_1p0: alpha=1)
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,late_random,a2_history,a5,1,0.434680359,0.31188053,0.122799829,28.2506044,0.935060573,0.729900539,0.205160034,0.5,0.5,best alpha by mean error differs across velocity modes (command_random: alpha=0.5; fixed_vx_1p0: alpha=1)
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a2_history,a5,0.25,0.420989246,0.341579886,0.0794093608,18.8625628,0.944480312,0.769626868,0.174853444,0.5,0.5,best alpha by mean error differs across velocity modes (command_random: alpha=0.5; fixed_vx_1p0: alpha=1)
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a2_history,a5,0.5,0.420989246,0.290419363,0.130569883,31.0150162,0.944480312,0.652558601,0.291921711,0.5,0.5,best alpha by mean error differs across velocity modes (command_random: alpha=0.5; fixed_vx_1p0: alpha=1)
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_seed0,command_random,realistic_random,a2_history,a5,1,0.420989246,0.304391195,0.116598052,27.6962067,0.944480312,0.684321541,0.260158771,0.5,0.5,best alpha by mean error differs across velocity modes (command_random: alpha=0.5; fixed_vx_1p0: alpha=1)
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a2_history,a5,0.25,0.565498959,0.403751206,0.161747753,28.6026614,1.12074952,0.988976032,0.13177349,1,1,best alpha by mean error differs across velocity modes (command_random: alpha=0.5; fixed_vx_1p0: alpha=1)
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a2_history,a5,0.5,0.565498959,0.34724409,0.218254868,38.5950964,1.12074952,0.991142142,0.129607379,1,1,best alpha by mean error differs across velocity modes (command_random: alpha=0.5; fixed_vx_1p0: alpha=1)
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,late_random,a2_history,a5,1,0.565498959,0.265929652,0.299569306,52.9743339,1.12074952,0.617416561,0.503332961,1,1,best alpha by mean error differs across velocity modes (command_random: alpha=0.5; fixed_vx_1p0: alpha=1)
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,realistic_random,a2_history,a5,0.25,0.540600863,0.387703426,0.152897437,28.2828696,1.02707014,0.987497813,0.0395723283,1,1,best alpha by mean error differs across velocity modes (command_random: alpha=0.5; fixed_vx_1p0: alpha=1)
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,realistic_random,a2_history,a5,0.5,0.540600863,0.33958201,0.201018854,37.1843382,1.02707014,0.938685071,0.0883850694,1,1,best alpha by mean error differs across velocity modes (command_random: alpha=0.5; fixed_vx_1p0: alpha=1)
papers/conference/results/t17_multijoint_closed_loop_eval_a2h_a5_alpha_sweep_fixed_vx1_seed0,fixed_vx_1p0,realistic_random,a2_history,a5,1,0.540600863,0.286236173,0.25436469,47.0522168,1.02707014,0.740406752,0.286663389,1,1,best alpha by mean error differs across velocity modes (command_random: alpha=0.5; fixed_vx_1p0: alpha=1)
